戥,跟
捋,挽
埒,溪
,地方
罨,盖
奄,躲藏
揩,洗
侬,小孩
嘘,那里
荡,玩
匿,这些
匿,拿
哓,叫
嘿,吃
矛,没有
捞,与
拈,拿
_,蹲坐
拎,踮
拎,提
唛,爬上
唛,扳开
麦,扔
洞,竖
吉,插
辘,圈
呃,骗
凼,哄
共,看护
共,一起
han,养
P,背着
P,拿东西
,一块
,正好
悭,省钱
q,小声说话
嬲,生气
努,怀恨在心
夫p,女人
马甩佬,男人
p,雌性
啖,口
m,殴打
beng,靠着
俾,给
泥,稀泥
跫,推
掂,触
掂,碰
掂,抬起
谂,想
捻,搓
k,窝
a,跨
虾,欺负
狂,害怕
嘘,哪
撩,挑逗
矛,没有
矛,没
矛day,不知道
乜野,什么
嘘呢,哪些
系矛,是否
点子,如何
一呢,一些
嘘只,哪个
day到,知道
个只,这个
讲,告诉
做工,工作
使,使用
俾,提供
有矛,有没有
可以,能否
一只,一个
出名,著名
近排,最近
点子,怎样
几只,几个
往事,通常
嘘只,哪位
个日,今天
近排,近期
点解,为什么
个种,这种
嘘呢方面,哪些方面
几多,多少
系矛系,是不是
点样,怎么样
个阵,现在
嘘女,哪里
大家,人们
讲明,说明
做齐,完成
点子,怎么
简,选择
睇,看
中意,喜欢
葛,的
嘛,吗
系,是
仔,儿子
女,女儿
乜野,啥
梗系,当然
